Mouse_name,wfnjC8,Reward_size,30,Licks_per_reward,2,Reward_window,2,Track_length,4500,EnvA_duration,300,envA_initial_drop,30,envA_max_number_of_laps,100,envA_odor1,3,envA_odor2,1,envA_odor3,2,envA_odor4,1,EnvB_duration,300,envB_initial_drop,-1,envB_max_number_of_laps,100,envB_odor1,3,envB_odor2,5,envB_odor3,2,envB_odor4,5
Time,Valve,Lick,LickCount,Reward,RewardCount,Distance,TotalDistance,RewardWindow,InitialDrop,InitialDropCount,ImagingTrigger,TTLpulse,TTLtotalCount,LickRate,LapCount,Environment
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1
36,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1
41,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1
52,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1
59,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1
67,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1
75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1
85,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1
90,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1
98,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1
100,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1
105,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1
115,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1
128,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,1
135,0,0,0,0,0,44,0,0,0,0,0,1,1,0,0,1
137,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,1
144,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,1
155,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,1
158,0,0,0,0,0,49,0,0,0,0,0,0,1,0,0,1
161,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,1
172,0,0,0,0,0,54,0,0,0,0,0,0,1,0,0,1
177,0,0,0,0,0,57,0,0,0,0,0,0,1,0,0,1
181,0,0,0,0,0,59,0,0,0,0,0,0,1,0,0,1
186,0,0,0,0,0,62,0,0,0,0,0,0,1,0,0,1
197,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,1
200,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,1
202,0,0,0,0,0,67,0,0,0,0,0,0,1,0,0,1
220,0,0,0,0,0,71,0,0,0,0,0,0,1,0,0,1
228,0,0,0,0,0,75,0,0,0,0,0,0,1,0,0,1
235,0,0,0,0,0,77,0,0,0,0,0,2,2,0,0,1
238,0,0,0,0,0,78,0,0,0,0,0,0,2,0,0,1
240,0,0,0,0,0,80,0,0,0,0,0,0,2,0,0,1
252,0,0,0,0,0,83,0,0,0,0,0,0,2,0,0,1
265,0,0,0,0,0,85,0,0,0,0,0,0,2,0,0,1
274,0,0,0,0,0,88,0,0,0,0,0,0,2,0,0,1
280,0,0,0,0,0,90,0,0,0,0,0,0,2,0,0,1
285,0,0,0,0,0,93,0,0,0,0,0,0,2,0,0,1
290,0,0,0,0,0,95,0,0,0,0,0,0,2,0,0,1
297,0,0,0,0,0,99,0,0,0,0,0,0,2,0,0,1
300,0,0,0,0,0,99,0,0,0,0,0,0,2,0,0,1
311,0,0,0,0,0,102,0,0,0,0,0,0,2,0,0,1
316,0,0,0,0,0,104,0,0,0,0,0,0,2,0,0,1
330,0,0,0,0,0,107,0,0,0,0,0,0,2,0,0,1
335,0,0,0,0,0,108,0,0,0,0,0,3,3,0,0,1
338,0,0,0,0,0,109,0,0,0,0,0,0,3,0,0,1
347,0,0,0,0,0,112,0,0,0,0,0,0,3,0,0,1
357,0,0,0,0,0,115,0,0,0,0,0,0,3,0,0,1
365,0,0,0,0,0,117,0,0,0,0,0,0,3,0,0,1
377,0,0,0,0,0,120,0,0,0,0,0,0,3,0,0,1
388,0,0,0,0,0,122,0,0,0,0,0,0,3,0,0,1
396,0,0,0,0,0,125,0,0,0,0,0,0,3,0,0,1
400,0,0,0,0,0,125,0,0,0,0,0,0,3,0,0,1
403,0,0,0,0,0,127,0,0,0,0,0,0,3,0,0,1
418,0,0,0,0,0,130,0,0,0,0,0,0,3,0,0,1
424,0,0,0,0,0,132,0,0,0,0,0,0,3,0,0,1
433,0,0,0,0,0,135,0,0,0,0,0,0,3,0,0,1
435,0,0,0,0,0,135,0,0,0,0,0,4,4,0,0,1
441,0,0,0,0,0,137,0,0,0,0,0,0,4,0,0,1
450,0,0,0,0,0,140,0,0,0,0,0,0,4,0,0,1
459,0,0,0,0,0,142,0,0,0,0,0,0,4,0,0,1
465,0,0,0,0,0,145,0,0,0,0,0,0,4,0,0,1
474,0,0,0,0,0,148,0,0,0,0,0,0,4,0,0,1
481,0,0,0,0,0,150,0,0,0,0,0,0,4,0,0,1
491,0,0,0,0,0,153,0,0,0,0,0,0,4,0,0,1
497,0,0,0,0,0,155,0,0,0,0,0,0,4,0,0,1
500,0,0,0,0,0,155,0,0,0,0,0,0,4,0,0,1
503,0,0,0,0,0,158,0,0,0,0,0,0,4,0,0,1
517,0,0,0,0,0,161,0,0,0,0,0,0,4,0,0,1
523,0,0,0,0,0,163,0,0,0,0,0,0,4,0,0,1
531,0,0,0,0,0,166,0,0,0,0,0,0,4,0,0,1
535,0,0,0,0,0,167,0,0,0,0,0,5,5,0,0,1
542,0,0,0,0,0,169,0,0,0,0,0,0,5,0,0,1
550,0,0,0,0,0,171,0,0,0,0,0,0,5,0,0,1
557,0,0,0,0,0,174,0,0,0,0,0,0,5,0,0,1
567,0,0,0,0,0,176,0,0,0,0,0,0,5,0,0,1
576,0,0,0,0,0,179,0,0,0,0,0,0,5,0,0,1
582,0,0,0,0,0,181,0,0,0,0,0,0,5,0,0,1
594,0,0,0,0,0,184,0,0,0,0,0,0,5,0,0,1
600,0,0,0,0,0,184,0,0,0,0,0,0,5,0,0,1
604,0,0,0,0,0,186,0,0,0,0,0,0,5,0,0,1
619,0,0,0,0,0,189,0,0,0,0,0,0,5,0,0,1
627,0,0,0,0,0,191,0,0,0,0,0,0,5,0,0,1
635,0,0,0,0,0,195,0,0,0,0,0,6,6,0,0,1
635,0,0,0,0,0,195,0,0,0,0,0,0,6,0,0,1
647,0,0,0,0,0,197,0,0,0,0,0,0,6,0,0,1
656,0,0,0,0,0,200,0,0,0,0,0,0,6,0,0,1
665,0,0,0,0,0,202,0,0,0,0,0,0,6,0,0,1
674,0,0,0,0,0,205,0,0,0,0,0,0,6,0,0,1
684,0,0,0,0,0,207,0,0,0,0,0,0,6,0,0,1
692,0,0,0,0,0,210,0,0,0,0,0,0,6,0,0,1
700,0,0,0,0,0,212,0,0,0,0,0,0,6,0,0,1
706,0,0,0,0,0,215,0,0,0,0,0,0,6,0,0,1
716,0,0,0,0,0,217,0,0,0,0,0,0,6,0,0,1
722,0,0,0,0,0,220,0,0,0,0,0,0,6,0,0,1
731,0,0,0,0,0,223,0,0,0,0,0,0,6,0,0,1
735,0,0,0,0,0,223,0,0,0,0,0,7,7,0,0,1
738,0,0,0,0,0,226,0,0,0,0,0,0,7,0,0,1
747,0,0,0,0,0,228,0,0,0,0,0,0,7,0,0,1
761,0,0,0,0,0,231,0,0,0,0,0,0,7,0,0,1
768,0,0,0,0,0,233,0,0,0,0,0,0,7,0,0,1
788,0,0,0,0,0,236,0,0,0,0,0,0,7,0,0,1
799,0,0,0,0,0,238,0,0,0,0,0,0,7,0,0,1
804,0,0,0,0,0,241,0,0,0,0,0,0,7,0,0,1
810,0,0,0,0,0,243,0,0,0,0,0,0,7,0,0,1
814,0,0,0,0,0,246,0,0,0,0,0,0,7,0,0,1
818,0,0,0,0,0,249,0,0,0,0,0,0,7,0,0,1
822,3,0,0,0,0,251,0,0,0,0,0,0,7,0,0,1
822,3,0,0,0,0,251,0,0,0,0,0,0,7,0,0,1
827,3,0,0,0,0,254,0,0,0,0,0,0,7,0,0,1
832,3,0,0,0,0,256,0,0,0,0,0,0,7,0,0,1
835,3,0,0,0,0,256,0,0,0,0,0,8,8,0,0,1
866,3,0,0,0,0,259,0,0,0,0,0,0,8,0,0,1
870,3,0,0,0,0,261,0,0,0,0,0,0,8,0,0,1
883,3,0,0,0,0,264,0,0,0,0,0,0,8,0,0,1
888,3,0,0,0,0,267,0,0,0,0,0,0,8,0,0,1
894,3,0,0,0,0,270,0,0,0,0,0,0,8,0,0,1
900,3,0,0,0,0,271,0,0,0,0,0,0,8,0,0,1
913,3,0,0,0,0,273,0,0,0,0,0,0,8,0,0,1
921,3,0,0,0,0,276,0,0,0,0,0,0,8,0,0,1
928,3,0,0,0,0,279,0,0,0,0,0,0,8,0,0,1
934,3,0,0,0,0,280,0,0,0,0,0,9,9,0,0,1
937,3,0,0,0,0,282,0,0,0,0,0,0,9,0,0,1
950,3,0,0,0,0,284,0,0,0,0,0,0,9,0,0,1
955,3,0,0,0,0,287,0,0,0,0,0,0,9,0,0,1
963,3,0,0,0,0,289,0,0,0,0,0,0,9,0,0,1
976,3,0,0,0,0,292,0,0,0,0,0,0,9,0,0,1
984,3,0,0,0,0,295,0,0,0,0,0,0,9,0,0,1
992,3,0,0,0,0,297,0,0,0,0,0,0,9,0,0,1
1000,3,0,0,0,0,299,0,0,0,0,0,0,9,0,0,1
1004,3,0,0,0,0,301,0,0,0,0,0,0,9,0,0,1
1015,3,0,0,0,0,304,0,0,0,0,0,0,9,0,0,1
1024,3,0,0,0,0,306,0,0,0,0,0,0,9,0,0,1
1034,3,0,0,0,0,309,0,0,0,0,0,0,9,0,0,1
1036,3,0,0,0,0,309,0,0,0,0,0,10,10,0,0,1
1044,3,0,0,0,0,311,0,0,0,0,0,0,10,0,0,1
1056,3,0,0,0,0,314,0,0,0,0,0,0,10,0,0,1
1066,3,0,0,0,0,317,0,0,0,0,0,0,10,0,0,1
1077,3,0,0,0,0,319,0,0,0,0,0,0,10,0,0,1
1086,3,0,0,0,0,322,0,0,0,0,0,0,10,0,0,1
1099,3,0,0,0,0,324,0,0,0,0,0,0,10,0,0,1
1113,3,0,0,0,0,327,0,0,0,0,0,0,10,0,0,1
1131,3,0,0,0,0,329,0,0,0,0,0,0,10,0,0,1
1135,3,0,0,0,0,329,0,0,0,0,0,11,11,0,0,1
1148,3,0,0,0,0,332,0,0,0,0,0,0,11,0,0,1
1163,3,0,0,0,0,334,0,0,0,0,0,0,11,0,0,1
1177,3,0,0,0,0,338,0,0,0,0,0,0,11,0,0,1
1196,3,0,0,0,0,340,0,0,0,0,0,0,11,0,0,1
1200,3,0,0,0,0,340,0,0,0,0,0,0,11,0,0,1
1209,3,0,0,0,0,343,0,0,0,0,0,0,11,0,0,1
1222,3,0,0,0,0,345,0,0,0,0,0,0,11,0,0,1
1234,3,0,0,0,0,348,0,0,0,0,0,0,11,0,0,1
1236,3,0,0,0,0,347,0,0,0,0,0,12,12,0,0,1
1246,3,0,0,0,0,350,0,0,0,0,0,0,12,0,0,1
1255,3,0,0,0,0,353,0,0,0,0,0,0,12,0,0,1
1266,3,0,0,0,0,355,0,0,0,0,0,0,12,0,0,1
1277,3,0,0,0,0,358,0,0,0,0,0,0,12,0,0,1
1286,3,0,0,0,0,360,0,0,0,0,0,0,12,0,0,1
1297,3,0,0,0,0,364,0,0,0,0,0,0,12,0,0,1
